id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
meta:sotheby's||2023-12-05|fancy light pinkish brown diamond and diamond ring,Fancy Light Pinkish Brown Diamond and Diamond Ring,ring,,,hammer,698500,600000,800000,USD,2023-12-05,Sotheby's,N11267,,,"Centering a cut-cornered rectangular step-cut Fancy Light Pinkish Brown diamond weighing 13.26 carats, framed and accented by round and marquise-shaped diamonds, size 5, partially signed David Webb. Accompanied by GIA report no. 6224929184 dated May 4, 2023 stating that the center diamond is Fancy Light Pinkish Brown, Natural color, VS1 clarity. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2022-06-16|'the earth star' | fancy deep orange-brown diamond, azurmalachite and diamond pendant | 地球之星 | david webb 鑲嵌 | 彩深橙棕色鑽石配天青孔雀石及鑽石吊墜","'The Earth Star' | Fancy Deep Orange-Brown Diamond, Azurmalachite and Diamond Pendant | 地球之星 | David Webb 鑲嵌 | 彩深橙棕色鑽石配天青孔雀石及鑽石吊墜",necklace,,,hammer,693000,1500000,2500000,USD,2022-06-16,Sotheby's,N10965,,,"Property from a Private Collection 'The Earth Star' | Mounted by David Webb | Fancy Deep Orange-Brown Diamond, Azurmalachite and Diamond Pendant 地球之星 | David Webb 鑲嵌 | 彩深橙棕色鑽石配天青 Featuring a pear-shaped 111.59-carat Fancy Deep Orange-Brown diamond within a frame of carved azurmalachite, further decorated with round diamonds, signed David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2025-12-09|nephrite, amethyst, ruby, and diamond 'demon mask' necklace-brooch combination","Nephrite, Amethyst, Ruby, and Diamond 'Demon Mask' Necklace-Brooch Combination",necklace,,,hammer,508000,20000,30000,USD,2025-12-09,Sotheby's,N11815,,,"The detachable clip-brooch designed as a carved nephrite mask of pre-Columbian inspiration wearing a textured gold headdress bezel-set with cabochon amethysts, the eyes similarly set with oval-shaped rubies, accented by round diamonds, suspended from a necklace composed of five rows of graduated amethyst beads, internal circumference approximately 16 inches, signed Webb; circa 1973. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2025-05-13|fancy deep orange-brown diamond, azurmalachite and diamond pendant, 'the earth star'","Fancy Deep Orange-Brown diamond, azurmalachite and diamond pendant, 'The Earth Star'",necklace,,,hammer,482600,450000,620000,CHF,2025-05-13,Sotheby's,GE2502,,,"Featuring a pear-shaped fancy deep orange-brown diamond weighing 111.59 carats, within a carved azurmalachite frame, further decorated with brilliant-cut diamonds, signed David Webb, fitted case stamped Earth Star by David Webb. Accompanied by GIA Identification and Origin report no. 6204551424, dated 19 December 2019, stating that the diamond is Fancy Deep Orange-Brown, Natural Colour; together with a GIA Monograph. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2018-10-03|ruby, diamond and enamel bangle-bracelet and ring, david webb","RUBY, DIAMOND AND ENAMEL BANGLE-BRACELET AND RING, DAVID WEBB",bracelet,,,hammer,450000,320000,450000,HKD,2018-10-03,Sotheby's,HK0817,,,"The bangle-bracelet designed as a panda decorated with black and white enamel and cabochon rubies, embellished with brilliant-cut diamonds, mounted in 18 karat yellow gold and platinum, inner circumference approximately 150mm; and ring of similar design, mounted in 18 karat yellow and white gold, size 5¾; each signed David Webb and Webb respectively. — Auction type: Main Sales — Location: Hong Kong",sothebys-site,2026-08-07
meta:sotheby's||2018-12-04|suite of emerald and diamond jewelry,SUITE OF EMERALD AND DIAMOND JEWELRY,other,,,hammer,447000,150000,200000,USD,2018-12-04,Sotheby's,N09951,,,"Comprising: a detachable pendant centered on a six-rayed star-shaped emerald weighing 6.46 carats, framed by old mine and old European-cut diamonds, designed to be alternately mounted on a clip-brooch of floral design, set with two emerald-cut emeralds and numerous old-European and round diamonds, with screwdriver to detach pendant; a necklace designed as a line of old European-cut diamonds, set to the front with four emerald-cut emeralds, framed and accented by old mine and old European-cut diamonds, length 15¼ inches, fitted with pendant hook; and a pair of earclips en suite, earclips signed Webb. With signed and fitted box by David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2020-12-09|david webb | diamond bracelet [鑽石手鏈],David Webb | Diamond Bracelet [鑽石手鏈],bracelet,,,hammer,352800,200000,300000,USD,2020-12-09,Sotheby's,N10479,,,"Property from the Collection of Marylou Whitney [瑪麗露・惠特尼瑰藏] David Webb Diamond Bracelet [鑽石手鏈] Set with ten emerald-cut diamonds alternating with ten round diamonds, embellished with round and marquise-shaped diamonds, length 7¼ inches, signed Webb; circa 1960s. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-12-09|david webb | emerald, ruby, sapphire and diamond necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈]","David Webb | Emerald, Ruby, Sapphire and Diamond Necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈]",necklace,,,hammer,327600,75000,100000,USD,2020-12-09,Sotheby's,N10479,,,"Property from the Collection of Marylou Whitney [瑪麗露・惠特尼瑰藏] David Webb Emerald, Ruby, Sapphire and Diamond Necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈] Suspending a rectangular-shaped carved emerald pendant, framed by baguette diamonds, the necklace set with numerous square-shaped sugarloaf cabochon emeralds, accented by oval-shaped rubies, spaced by oval-shaped sapphires, further decorated with round diamonds, length 15 inches, necklace signed David Webb; circa 1970s. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-10-28|sapphire, emerald and diamond brooch | 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針","Sapphire, Emerald and Diamond Brooch | 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針",brooch,,,hammer,302400,150000,200000,HKD,2021-10-28,Sotheby's,HK1121,,,"David Webb | Sapphire, Emerald and Diamond Brooch 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針 Set with a cabochon sapphire weighing approximately 21.22 carats, decorated with brilliant-cut diamonds, highlighted with pear-shaped emeralds, mounted in 18 karat white gold and platinum, signed David Webb, cabochon sapphire fitting can be removed from the brooch. ﻿Accompanied by a gemmological report. — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
meta:sotheby's||2020-05-20|david webb | diamond clip brooch | 大衛韋博 鑽石別針,DAVID WEBB | DIAMOND CLIP BROOCH | 大衛韋博 鑽石別針,brooch,,,hammer,237500,200000,260000,HKD,2020-05-20,Sotheby's,HK0952,,,"DAVID WEBB DIAMOND CLIP BROOCH 大衛韋博 鑽石別針 Of floral design with an articulated stem, decorated with variously-shaped diamonds. Diamonds weighing a total of approximately 14.00 - 17.00 caratsSigned David Webb and Webb, numbered 52710ALPlatinum and 18 karat yellow gold — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
"meta:sotheby's||2018-10-17|diamond ring and jacket, the jacket by david webb","DIAMOND RING AND JACKET, THE JACKET BY DAVID WEBB",ring,,,hammer,225000,100000,150000,USD,2018-10-17,Sotheby's,N09953,,,"Centered on a pear-shaped diamond weighing 8.18 carats, set between tapered baguette diamonds, size 6¼ with expandable band, with fluted gold jacket, size 8½, signed David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-06-09|david webb | sapphire and diamond ring,David Webb | Sapphire and Diamond Ring,ring,,,hammer,163800,90000,130000,USD,2021-06-09,Sotheby's,N10721,,,"Property from a Private Collector David Webb | Sapphire and Diamond Ring Centering a cushion-cut sapphire weighing 18.31 carats, framed by two rows of round diamonds, size 6, signed Webb. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2020-10-22|david webb | diamond and baroque cultured pearl sautoir,David Webb | Diamond and Baroque Cultured Pearl Sautoir,other,,,hammer,163800,75000,100000,USD,2020-10-22,Sotheby's,N10443,,,"David Webb Diamond and Baroque Cultured Pearl Sautoir Composed of 17 baroque pearls measuring approximately 20.28 by 17.57 mm to 15.22 by 16.26 mm, with fluted gold terminals accented by round diamonds, further interspersed with pavé-set diamond rondelles length 29 inches, signed David Webb, numbered AS183. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2018-11-15|sapphire and diamond ring, david webb","SAPPHIRE AND DIAMOND RING, DAVID WEBB",ring,,,hammer,156250,70000,100000,CHF,2018-11-15,Sotheby's,GE1805,,,"Set with a sugarloaf sapphire weighing 24.66 carats, the mount pavé-set with brilliant-cut diamonds, size 58, signed David Webb. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
meta:sotheby's||2026-06-18|pair of colored stone and diamond pendant-earclips,Pair of Colored Stone and Diamond Pendant-Earclips,necklace,,,hammer,153600,20000,30000,USD,2026-06-18,Sotheby's,N12180,,,"Suspending emerald-cut fire opals in surrounds set with baguette tourmalines and oval-shaped ruby and turquoise cabochons, the surmounts set with emerald-cut tourmalines and rectangular turquoises, accented throughout by round and baguette diamonds. Length approximately 2¼ inches Signed David Webb, numbered Platinum and 18 karat gold Gross weight approximately 48 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-12-07|david webb | ruby and diamond necklace 紅寶石配鑽石項鏈,David Webb | Ruby and Diamond Necklace 紅寶石配鑽石項鏈,necklace,,,hammer,151200,120000,180000,USD,2021-12-07,Sotheby's,N10805,,,"Property of a Lady David Webb | Ruby and Diamond Necklace Of fringe design, featuring oval-shaped rubies surrounded and accented by round rubies and diamonds, length 16½ inches, signed Webb; circa 1965. With signed pouch. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-10-28|pair of diamond earrings | 大衛韋伯 | 鑽石耳環一對,Pair of Diamond Earrings | 大衛韋伯 | 鑽石耳環一對,earrings,,,hammer,151200,120000,160000,HKD,2021-10-28,Sotheby's,HK1121,,,"David Webb | Pair of Diamond Earrings 大衛韋伯 | 鑽石耳環一對 Each set with an oval diamond, within a surround of brilliant-cup diamonds, mounted in platinum and 18 karat white gold, signed Webb, post and hinged back fittings. — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
"meta:sotheby's||2023-12-05|gold, colored stone and diamond necklace and pair of earclips","Gold, Colored Stone and Diamond Necklace and Pair of Earclips",necklace,,,hammer,139700,80000,120000,USD,2023-12-05,Sotheby's,N11267,,,"Composed of a series of clusters featuring cabochon sapphires and emeralds and carved emeralds within round diamond, cabochon emerald and round ruby surrounds, the earclips similarly set, total gross weight approximately 148 dwts, necklace length 20 inches, signed Webb, with French import marks. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-07-09|gold, enamel and diamond pendent necklace | david webb | k金 配 琺瑯彩 及 鑽石 項鏈","Gold, Enamel and Diamond Pendent Necklace | David Webb | K金 配 琺瑯彩 及 鑽石 項鏈",necklace,,,hammer,138600,80000,120000,HKD,2021-07-09,Sotheby's,HK1112,,,"Property Of A Gentleman David Webb Gold, Enamel and Diamond Pendent Necklace David Webb K金 配 琺瑯彩 及 鑽石 項鏈 Designed as a series of white enamel geometric links set with brilliant-cut diamond. Length approximately 405mmSigned Webb18 karat yellow gold and platinum — Auction type: Main Sales — Location: Hong Kong",sothebys-site,2026-08-07
meta:sotheby's||2022-05-10|attractive emerald and diamond ring | david webb｜祖母綠配鑽石戒指,Attractive emerald and diamond ring | David Webb｜祖母綠配鑽石戒指,ring,,,hammer,138600,50000,60000,CHF,2022-05-10,Sotheby's,GE2202,,,"Property of a Noble Family Attractive emerald and diamond ring, David Webb Claw-set with a step-cut emerald weighing 6.60 carats, within a double surround of old cushion-shaped diamonds, size 49, sizing band, signed David Webb. Accompanied by SSEF report no. 121894, stating that the emerald is of Colombian origin, with a minor amount of oil in fissures. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2018-12-04|pair of emerald and diamond earclips, david webb","PAIR OF EMERALD AND DIAMOND EARCLIPS, DAVID WEBB",earrings,,,hammer,137500,60000,80000,USD,2018-12-04,Sotheby's,N09951,,,"The leaf-shaped tops, set with round and baguette diamonds, supporting two detachable drop-shaped emeralds weighing approximately 41.50 and 31.85 carats, capped by round diamonds, signed Webb, one small diamond missing. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2023-06-08|ruby, emerald, enamel and diamond clip-brooch","Ruby, Emerald, Enamel and Diamond Clip-Brooch",brooch,,,hammer,133350,40000,60000,USD,2023-06-08,Sotheby's,N11265,,,"Extraordinary Jewels from the Collection of Constance Barber Mellon David Webb | Ruby, Emerald, Enamel and Diamond Clip-Brooch Designed as an Indian elephant in ceremonial dress, the body composed of carved rubies, featuring fluted, cabochon and pear-shaped emeralds and pear-shaped rubies, accented by round and single-cut diamonds, the tusks applied with white enamel, signed Webb; circa 1965. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2025-06-13|diamond double clip-brooch,Diamond Double Clip-Brooch,brooch,,,hammer,127000,120000,220000,USD,2025-06-13,Sotheby's,N11807,,,"Of floral design, the petals decorated with round diamonds, the center diamonds weighing 5.49 and 5.22 carats, the stems and leaves embellished with baguette diamonds, with detachable elements for variety of wear, signed Webb. With signed box. Accompanied by two GIA reports: no. 2235095460 dated October 12, 2023 stating that the diamond weighing 5.49 carats is K color, VS1 clarity, and no. 6237095437 dated October 16, 2023 stating that the diamond weighing 5.22 carats is L color, VS2 clarity. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-12-10|suite of gold and gem-set jewels, david webb | 黃金鑲寶石首飾套裝，david webb","SUITE OF GOLD AND GEM-SET JEWELS, DAVID WEBB | 黃金鑲寶石首飾套裝，David Webb",other,,,hammer,125000,50000,75000,USD,2019-12-10,Sotheby's,N10163,,,"Property of a Distinguished Collector SUITE OF GOLD AND GEM-SET JEWELS, DAVID WEBB 黃金鑲寶石首飾套裝，David Webb Comprising: a necklace-bracelet combination composed of hammered gold, set with step-cut diamonds, gross weight approximately 141 dwts, signed David Webb and Webb, detachable into five segments, total length 25½ inches, fitted with pendant hook; a matching pendant-brooch wearable with the necklace, additionally embellished with a detachable baroque cultured pearl center measuring approximately 18.6 x 17.5 x 12.5 mm framed with pavé-set round and single-cut diamonds, gross weight approximately 37 dwts, signed Webb; interchangeable with two bezel-set sugarloaf cabochons, one coral and one turquoise; with a matching hinged cuff-bracelet, gross weight approximately 85 dwts, signed David Webb, internal circumference 6¾ inches. Please note this property cannot be shipped internationally due to endangered species materials. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2026-06-16|diamond, colored diamond, ruby and gold ‘double leopard’ bracelet 鑽石 配 彩色鑽石 配 紅寶石 及 k金 'double leopard' 手鐲","Diamond, Colored Diamond, Ruby and Gold ‘Double Leopard’ Bracelet 鑽石 配 彩色鑽石 配 紅寶石 及 K金 'Double Leopard' 手鐲",bracelet,,,hammer,121600,45000,65000,USD,2026-06-16,Sotheby's,N12165,,,"Composed of two opposed leopards set throughout with round diamonds and diamonds of yellow and orange hue, the eyes set with pear-shaped ruby cabochons, gross weight approximately 82 dwts, internal circumference approximately 6¾ inches, signed David Webb, numbered. Accompanied by a copy of a David Webb Certificate of Authenticity dated April 12, 2017. Please note that the colored diamonds have not been tested for natural origin of color. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2025-10-23|coral and diamond choker | girocollo in corallo e diamanti,Coral and diamond choker | Girocollo in corallo e diamanti,necklace,,,hammer,120650,15000,25000,EUR,2025-10-23,Sotheby's,MIOL62,,,"Composed of three rows of graduated coral beads to a brilliant-cut diamond clasp designed as a buckle. Length approximately 325mmSigned Webb18karat goldGross weight 171,74 gramsAccompanied by a gemological report and additional letter stating that the coral belongs to the species of Corallium Elatius. (Realizzato con tre fili di sfere in corallo poste in gradazione, la fermezza modellata a forma di fibbia interamente decorata con diamanti di taglio brillante. Lunghezza approssimativa 325mmFirmata WebbOro 18 caratiPeso grammi 171,74Accompagnata da certificato gemmologico e lettera che dichiara il corallo appartenente alla specie Corallium Elatius.) Please contact the department for the export of this property. (Per favore contatti il dipartimento per l'esportazione di questa proprietà.) — Auction type: Online Auctions — Location: Milan",sothebys-site,2026-08-07
meta:sotheby's||2025-02-08|gold and diamond ring,Gold and Diamond Ring,ring,,,hammer,120000,100000,150000,USD,2025-02-08,Sotheby's,SA2401,,,"Featuring a round diamond weighing 9.37 carats, surrounded by tapered baguette diamonds, in a textured gold mounting, size 52, signed Webb. Accompanied by GIA report no. 5151997371 dated March 18, 2014 stating that the center diamond is O to P color, VVS2 clarity. Accompanied by a David Webb Certificate of Authenticity dated July 14, 2023 identifying the ring as style number 325023, serial number NA43. — Auction type: Main Sales — Location: Diriyah",sothebys-site,2026-08-07
"meta:sotheby's||2022-05-10|nephrite, sapphire and enamel sautoir | david webb｜軟玉配藍寶石及琺瑯彩長項鏈","Nephrite, sapphire and enamel sautoir | David Webb｜軟玉配藍寶石及琺瑯彩長項鏈",other,,,hammer,113400,56000,85000,CHF,2022-05-10,Sotheby's,GE2202,,,"Property from an Important Private Collection Nephrite, sapphire and enamel sautoir, David Webb Designed as a graduated row of hammered gold and white enamel links decorated with cabochon sapphires, supporting a carved nephrite pendant, length approximately 870mm, signed David Webb, case stamped David Webb. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2020-07-23|david webb | emerald, ruby and diamond 'summer berries' bracelet","DAVID WEBB | EMERALD, RUBY AND DIAMOND 'SUMMER BERRIES' BRACELET",bracelet,,,hammer,106250,100000,150000,USD,2020-07-23,Sotheby's,N10407,,,"DAVID WEBB EMERALD, RUBY AND DIAMOND 'SUMMER BERRIES' BRACELET Featuring fluted carved emeralds, topped by ruby cabochons, framed and spaced by round, baguette and marquise-shaped diamonds, bordered by calibré-cut rubies. · Diamonds weighing a total of approximately 26.75 carats · Emeralds weighing a total of approximately 126.00 carats · Internal circumference 6½ inches · Signed David Webb · 18 karat gold and platinum · Gross weight approximately 119 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-09-25|pair of diamond earclips, david webb","PAIR OF DIAMOND EARCLIPS, DAVID WEBB",earrings,,,hammer,106250,25000,35000,USD,2019-09-25,Sotheby's,N10129,,,"Of door knocker design, set throughout with round diamonds, signed Webb. With signed pouch. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2024-05-21|emerald and diamond ring | bague émeraude et diamants,Emerald and diamond ring | Bague émeraude et diamants,ring,,,hammer,102000,140000,240000,EUR,2024-05-21,Sotheby's,PF2420,,,"Set with an octagonal step-cut emerald weighing 16.34 carats to the brilliant-cut and pear-shaped diamond bombé surround and shoulders, size 49, signed, French import assay mark for platinum, gross weight 20.72 grams. ﻿Accompanied by SSEF report no. 136346, dated 1 March 2024, stating that the emerald is of Colombian origin, with evidence of minor clarity enhancement in the fissures (oil). --------------------------------------- Sertie d’une émeraude octogonale à pans coupés pesant 16.34 carats, entourée et épaulée de diamants tailles brillant et marquise, tour de doigt 49, signée, poinçon français d’import pour le platine (850°/00), poids brut 20.72 g. Accompagnée d’un certificat SSEF no. 136346 en date du 1 mars 2024 indiquant l’origine de Colombie et la présence mineure d’huile dans les fissures pour cette émeraude — Auction type: Main Sales — Location: Paris",sothebys-site,2026-08-07
meta:sotheby's||2025-12-11|pair of sapphire and diamond pendant-earclips,Pair of Sapphire and Diamond Pendant-Earclips,necklace,,,hammer,101600,50000,70000,USD,2025-12-11,Sotheby's,N11817,,,"Featuring eight oval-shaped and cushion-cut sapphires, framed by two rows of round diamonds. Two largest sapphires weighing 8.51 and 6.52 caratsLength approximately 2¼ inchesSigned WebbPlatinum and 18 karat goldAccompanied by AGL report no. 1152042 dated November 7, 2025 stating that the two largest sapphires are of Ceylon origin, with no indications of heating — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-12-07|david webb | diamond clip-brooch 鑽石別針,David Webb | Diamond Clip-Brooch 鑽石別針,brooch,,,hammer,100800,80000,120000,USD,2021-12-07,Sotheby's,N10805,,,"Property from an Important Private Collection David Webb | Diamond Clip-Brooch Designed as a flower set with marquise-shaped diamonds, the petals embellished with round diamonds, the stem and leaves set with baguette and pear-shaped diamonds, signed Webb and David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2022-09-13|gold and sapphire ring,Gold and Sapphire Ring,ring,,,hammer,100800,60000,80000,USD,2022-09-13,Sotheby's,N11070,,,"Featuring a bezel-set emerald-cut sapphire. Sapphire weighing 21.37 caratsSize 8¼Partially signed David Webb, numbered DC3918 karat goldAccompanied by a copy of a David Webb Certificate of AuthenticityAccompanied by a copy of Gübelin report no. 11050146 stating that the sapphire is of Ceylon origin, with no indications of heatingAccompanied by a signed box — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-12-10|cultured pearl and diamond necklace, david webb | 養殖珍珠配鑽石項鏈，david webb","CULTURED PEARL AND DIAMOND NECKLACE, DAVID WEBB | 養殖珍珠配鑽石項鏈，David Webb",necklace,,,hammer,100000,25000,35000,USD,2019-12-10,Sotheby's,N10163,,,"Property From the Collection of Caroline P. Ireland CULTURED PEARL AND DIAMOND NECKLACE, DAVID WEBB 養殖珍珠配鑽石項鏈，David Webb Featuring 17 button pear-shaped cultured pearls measuring approximately 17.5 x 14.0 mm to 13.5 x 11.0 mm, 18 drop-shaped and semi-baroque cultured pearls measuring 9.0 x 8.3 mm to 7.4 x 5.8 mm, and 64 round cultured pearls measuring approximately 8.5 to 4.9 mm, embellished with floral motifs and round diamonds, length 14¾ inches, signed David Webb; circa 1965. With signed and fitted box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2024-04-04|diamond ring | 鑽石 戒指,Diamond Ring | 鑽石 戒指,ring,,,hammer,95250,26000,40000,HKD,2024-04-04,Sotheby's,HK1510,,,"Of bombé design, centring a brilliant-cut diamond cluster, to the openwork surrounds decorated with brilliant-cut diamonds, mounted in 18 karat yellow gold and platinum, size 7½, signed Webb. — Auction type: Main Sales — Location: Hong Kong",sothebys-site,2026-08-07
"meta:sotheby's||2020-12-09|david webb | gold, rock crystal and diamond sautoir and pair of earclips [黃金鑲白水晶配鑽石長項鏈及耳環一對]","David Webb | Gold, Rock Crystal and Diamond Sautoir and Pair of Earclips [黃金鑲白水晶配鑽石長項鏈及耳環一對]",earrings,,,hammer,94500,30000,50000,USD,2020-12-09,Sotheby's,N10479,,,"Property from the Collection of Marylou Whitney [瑪麗露・惠特尼瑰藏] David Webb Gold, Rock Crystal and Diamond Sautoir and Pair of Earclips [黃金鑲白水晶配鑽石長項鏈及耳環一對] The sautoir suspending a drop rock crystal, accented by textured gold wreath motifs and rock crystal beads, set with round diamonds, length 28 inches; the earclips of similar design, suspending two drop-shaped rock crystals, surmounted by two oval-shaped rock crystals, total gross weight approximately 270 dwts, all pieces signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2024-12-11|pair of ruby and diamond pendant-earclips,Pair of Ruby and Diamond Pendant-Earclips,necklace,,,hammer,90000,60000,100000,USD,2024-12-11,Sotheby's,N11523,,,"The tops and detachable drops featuring oval and pear-shaped ruby cabochons, surrounded by round and baguette diamonds, signed Webb. Accompanied by AGL report no. 1124947 dated August 15, 2022 stating that the rubies are of Burmese origin, with no indications of heating. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2023-06-08|gold, diamond and ruby desk timepiece","Gold, Diamond and Ruby Desk Timepiece",other,,,hammer,88900,30000,50000,USD,2023-06-08,Sotheby's,N11265,,,"Extraordinary Jewels from the Collection of Constance Barber Mellon David Webb | Gold, Diamond and Ruby Desk Timepiece Designed as a monkey, the eyes highlighted with round rubies, holding a walnut decorated with round diamond-set foliage atop a cluster of crystals, the round champagne-colored dial set with round and marquise-shaped diamond markers, movement signed Hamilton Watch Co., base signed Webb; circa 1965. With signed, fitted box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2023-03-08|pair of emerald and diamond pendant-earclips,Pair of Emerald and Diamond Pendant-Earclips,necklace,,,hammer,88900,30000,50000,USD,2023-03-08,Sotheby's,N11263,,,"Suspending detachable pendants featuring two fluted emerald drops, the caps and surmounts set with round and marquise-shaped diamonds. Emerald drops measuring approximately 24.3 x 18.0 x 9.9mmDiamonds weighing a total of approximately 11.20 caratsLength 2⅜ inchesSigned Webb18 karat white gold and platinum — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-08-05|david webb | diamond and enamel ring | david webb | 鑽石 配 琺瑯 戒指,David Webb | Diamond and Enamel Ring | David Webb | 鑽石 配 琺瑯 戒指,ring,,,hammer,88200,50000,80000,HKD,2021-08-05,Sotheby's,HK1117,,,"Diamond and Enamel Ring David Webb David Webb | 鑽石 配 琺瑯 戒指 Designed as a giraffe decorated with black, white and red enamel, highlighted with brilliant-cut diamonds, mounted in 18 karat yellow gold and platinum, size 4¾, ring guard fitting, signed Webb. — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
"meta:sotheby's||2020-11-27|david webb | diamond, enamel and emerald pendant / brooch | david webb | 鑽石 配 琺瑯彩 及 祖母綠 掛墜 / 別針","DAVID WEBB | DIAMOND, ENAMEL AND EMERALD PENDANT / BROOCH | DAVID WEBB | 鑽石 配 琺瑯彩 及 祖母綠 掛墜 / 別針",necklace,,,hammer,88200,32000,48000,HKD,2020-11-27,Sotheby's,HK1042,,,"DAVID WEBB | DIAMOND, ENAMEL AND EMERALD PENDANT / BROOCH DAVID WEBB | 寶石 配 鑽石 掛墜 / 別針 Set with triangular, baguette, trapeze-shaped and brilliant-cut diamonds, pear-shaped emerald eyes, and a rock crystal glass, decorated with black enamel. Diamonds weighing a total of approximately 3.50 - 4.00 caratsEmeralds weighing a total of approximately 0.10 caratSigned Webb18 karat yellow gold and platinum — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
"meta:sotheby's||2019-06-06|diamond ring and gold jacket, the jacket by david webb","DIAMOND RING AND GOLD JACKET, THE JACKET BY DAVID WEBB",ring,,,hammer,87500,60000,80000,USD,2019-06-06,Sotheby's,N10092,,,"Centered on a marquise-shaped diamond weighing 6.21 carats, set between tapered baguette and square-cut diamonds, size 8¾, with textured gold jacket, size 8, signed Webb. With signed pouch. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2024-06-10|gold, enamel, emerald and diamond bracelet","Gold, Enamel, Emerald and Diamond Bracelet",bracelet,,,hammer,84000,25000,35000,USD,2024-06-10,Sotheby's,N11520,,,"Designed as a pair of confronting tigers' heads biting a round diamond-set ring, the heads and articulated links applied with blue enamel, the eyes and heads set with pear-shaped emeralds, and the necks decorated with pavé-set round diamonds. Internal circumference 6 inchesSigned Webb18 karat gold and platinumGross weight approximately 105 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2025-06-13|coral, amethyst, hardstone and diamond sautoir","Coral, Amethyst, Hardstone and Diamond Sautoir",other,,,hammer,82550,70000,100000,USD,2025-06-13,Sotheby's,N11807,,,"Composed of gold links set with alternating carved chalcedony and onyx plaques centering coral and amethyst cabochons, accented by round diamonds, gross weight approximately 276 dwts, length 30 inches with a central 4-inch drop, detachable into two sections measuring 20 and 10 inches for variety of wear, signed David Webb, numbered 1S243. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
