id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
"meta:sotheby's||2021-11-11|pair of diamond ear clips, 1960s","Pair of diamond ear clips, 1960s",earrings,,,hammer,20160,5500,6500,CHF,2021-11-11,Sotheby's,GE2115,,,"Formerly in the Collection of Hind Rostom David Webb Pair of diamond ear clips 1960s Each of cluster design, set with marquise-shaped and brilliant-cut diamonds, signed David Webb, numbered. — Auction type: Online Auctions — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2021-06-11|emerald, sapphire, ruby and diamond pendant-brooch","Emerald, Sapphire, Ruby and Diamond Pendant-Brooch",necklace,,,hammer,20160,10000,15000,USD,2021-06-11,Sotheby's,N10666,,,"Of hammered gold openwork design, featuring emerald, ruby and sapphire cabochons, further adorned with round diamonds. Diamonds weighing a total of approximately 9.50 caratsDimensions 2⅝ x 2¼ inchesSigned Webb18 karat gold and platinumGross weight approximately 38 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-11-11|yellow sapphire, sapphire and diamond ring","Yellow sapphire, sapphire and diamond ring",ring,,,hammer,20160,13000,26000,CHF,2021-11-11,Sotheby's,GE2115,,,"From a Private British Collection David Webb Yellow sapphire, sapphire and diamond ring Of bombé design, set with a cushion-shaped yellow sapphire, the surround set with oval yellow and blue sapphires and brilliant-cut diamonds, size 45, sizing beads, signed David Webb. — Auction type: Online Auctions — Location: Geneva",sothebys-site,2026-08-07
meta:sotheby's||2022-09-13|rock crystal and diamond pendant-necklace,Rock Crystal and Diamond Pendant-Necklace,necklace,,,hammer,20160,15000,20000,USD,2022-09-13,Sotheby's,N11070,,,"Suspending a pendant-brooch in the form of a heraldic cross set with rock crystal briolettes and round diamonds, on a black silk cord. Diamonds weighing a total of approximately 10.80 caratsLength 17½ inchesSigned David WebbPlatinum and 18 karat white goldCentral element detachable for wear as a smaller brooch — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-05-18|gold, aquamarine, diamond and enamel ring","Gold, Aquamarine, Diamond and Enamel Ring",ring,,,hammer,20160,8000,12000,USD,2021-05-18,Sotheby's,N10858,,,"Centering a cushion-cut aquamarine, accented by round diamonds, the mounting applied with white enamel. Aquamarine weighing approximately 16.50 caratsDiamonds weighing a total of approximately 1.65 caratsSize 6½Signed David Webb, numbered FS30318 karat gold and platinum — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2022-09-13|gold and enamel suite of jewels,Gold and Enamel Suite of Jewels,other,,,hammer,20160,15000,20000,USD,2022-09-13,Sotheby's,N11070,,,"Comprising a pendant-brooch, ring and pair of earclips applied with a white enamel cross-hatched patter, the pendant-brooch designed as a Maltese cross, the ring and earclips accented by round diamonds. Diamonds weighing a total of approximately 2.20 caratsPendant-brooch dimensions 2¼ x 2¼ inches, ring size 5¾, earclip length 1⅛ inchesPendant-brooch signed Webb, ring signed David Webb, earclips partially signed WebbPlatinum and 18 karat goldTotal gross weight approximately 104 dwts — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
url:www.ragoarts.com/auctions/2023/11/holiday-jewels-luxury/218,"Sapphire, emerald, ruby, and diamond brooch",brooch,,,hammer,20000,20000,30000,,2023-11,Rago,Holiday Jewels & Luxury and Watches,218,https://www.ragoarts.com/auctions/2023/11/holiday-jewels-luxury/218,"Premium price $25,200 (incl. buyer's premium)",rago-site,2026-08-06
url:www.ragoarts.com/auctions/2020/12/jewels/295,Emerald and diamond necklace,necklace,,,hammer,20000,20000,30000,,2020-12,Rago,Jewels & Luxury,295,https://www.ragoarts.com/auctions/2020/12/jewels/295,"Premium price $25,000 (incl. buyer's premium)",rago-site,2026-08-06
"meta:sotheby's||2019-12-09|gold and emerald cuff-bracelet, david webb","GOLD AND EMERALD CUFF-BRACELET, DAVID WEBB",bracelet,,,hammer,20000,8000,12000,USD,2019-12-09,Sotheby's,N10234,,,"Property of a Lady GOLD AND EMERALD CUFF-BRACELET, DAVID WEBB Of hinged design, composed of hammered gold and featuring a textured gold frog, set with cabochon emerald eyes, gross weight approximately 71 dwts, internal circumference 6¼ inches, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-07-23|david webb | gold, diamond and enamel 'wobble' bracelet","DAVID WEBB | GOLD, DIAMOND AND ENAMEL 'WOBBLE' BRACELET",bracelet,,,hammer,20000,20000,30000,USD,2020-07-23,Sotheby's,N10407,,,"DAVID WEBB GOLD, DIAMOND AND ENAMEL 'WOBBLE' BRACELET The barrel-shaped links adorned with textured gold studs and applied with red enamel, spaced by lines of round diamonds. · Diamonds weighing a total of approximately 5.00 carats · Internal circumference 6⅛ inches · Signed David Webb · 18 karat gold and platinum · Gross weight approximately 72 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
